Code,Treatment,Repet,Tree,Fruit,Nseeds,FrDiam,Block,TreeCode
A618,A,06,01,8,2,60.76,Block_2,A0601
A619,A,06,01,9,0,66.87,Block_2,A0601
A6110,A,06,01,10,0,52.98,Block_2,A0601
A621,A,06,02,1,0,55.53,Block_2,A0602
A622,A,06,02,2,2,73.27,Block_2,A0602
A623,A,06,02,3,0,62.25,Block_2,A0602
A624,A,06,02,4,0,53.3,Block_2,A0602
A625,A,06,02,5,0,51.56,Block_2,A0602
A626,A,06,02,6,0,38.54,Block_2,A0602
A627,A,06,02,7,0,55.45,Block_2,A0602
A628,A,06,02,8,,,Block_2,A0602
A629,A,06,02,9,,,Block_2,A0602
A6210,A,06,02,10,,,Block_2,A0602
A711,A,07,01,1,1,65.33,Block_2,A0701
A712,A,07,01,2,0,51.66,Block_2,A0701
A713,A,07,01,3,0,51.02,Block_2,A0701
A714,A,07,01,4,0,44.41,Block_2,A0701
A715,A,07,01,5,0,45.88,Block_2,A0701
A716,A,07,01,6,,,Block_2,A0701
A717,A,07,01,7,,,Block_2,A0701
A718,A,07,01,8,,,Block_2,A0701
A719,A,07,01,9,,,Block_2,A0701
A7110,A,07,01,10,,,Block_2,A0701
A721,A,07,02,1,0,49.43,Block_2,A0702
A722,A,07,02,2,0,46.24,Block_2,A0702
A723,A,07,02,3,0,47.56,Block_2,A0702
A724,A,07,02,4,0,46.96,Block_2,A0702
A725,A,07,02,5,0,53.17,Block_2,A0702
A726,A,07,02,6,0,43.05,Block_2,A0702
A727,A,07,02,7,0,51.09,Block_2,A0702
A728,A,07,02,8,,,Block_2,A0702
A729,A,07,02,9,,,Block_2,A0702
A7210,A,07,02,10,,,Block_2,A0702
A811,A,08,01,1,1,64.98,Block_3,A0801
A812,A,08,01,2,1,61.29,Block_3,A0801
A813,A,08,01,3,5,60.81,Block_3,A0801
A814,A,08,01,4,1,49.53,Block_3,A0801
A815,A,08,01,5,3,67.82,Block_3,A0801
A816,A,08,01,6,2,64.31,Block_3,A0801
A817,A,08,01,7,1,52.21,Block_3,A0801
A818,A,08,01,8,0,62.75,Block_3,A0801
A819,A,08,01,9,2,67.34,Block_3,A0801
A8110,A,08,01,10,2,64.84,Block_3,A0801
A821,A,08,02,1,,,Block_3,A0802
A822,A,08,02,2,,,Block_3,A0802
A823,A,08,02,3,,,Block_3,A0802
A824,A,08,02,4,,,Block_3,A0802
A825,A,08,02,5,,,Block_3,A0802
A826,A,08,02,6,,,Block_3,A0802
A827,A,08,02,7,,,Block_3,A0802
A828,A,08,02,8,,,Block_3,A0802
A829,A,08,02,9,,,Block_3,A0802
A8210,A,08,02,10,,,Block_3,A0802
A911,A,09,01,1,,,Block_3,A0901
A912,A,09,01,2,,,Block_3,A0901
A913,A,09,01,3,,,Block_3,A0901
A914,A,09,01,4,,,Block_3,A0901
A915,A,09,01,5,,,Block_3,A0901
A916,A,09,01,6,,,Block_3,A0901
A917,A,09,01,7,,,Block_3,A0901
A918,A,09,01,8,,,Block_3,A0901
A919,A,09,01,9,,,Block_3,A0901
A9110,A,09,01,10,,,Block_3,A0901
A921,A,09,02,1,0,58.11,Block_3,A0902
A922,A,09,02,2,2,55.83,Block_3,A0902
A923,A,09,02,3,0,65.66,Block_3,A0902
A924,A,09,02,4,3,64.63,Block_3,A0902
A925,A,09,02,5,0,52.28,Block_3,A0902
A926,A,09,02,6,2,58.74,Block_3,A0902
A927,A,09,02,7,0,56.34,Block_3,A0902
A928,A,09,02,8,0,54.1,Block_3,A0902
A929,A,09,02,9,0,48.04,Block_3,A0902
A9210,A,09,02,10,0,62.88,Block_3,A0902
A1011,A,10,01,1,,,Block_3,A1001
A1012,A,10,01,2,,,Block_3,A1001
A1013,A,10,01,3,,,Block_3,A1001
A1014,A,10,01,4,,,Block_3,A1001
A1015,A,10,01,5,,,Block_3,A1001
A1016,A,10,01,6,,,Block_3,A1001
A1017,A,10,01,7,,,Block_3,A1001
A1018,A,10,01,8,,,Block_3,A1001
A1019,A,10,01,9,,,Block_3,A1001
A10110,A,10,01,10,,,Block_3,A1001
A1021,A,10,02,1,,,Block_3,A1002
A1022,A,10,02,2,,,Block_3,A1002
A1023,A,10,02,3,,,Block_3,A1002
A1024,A,10,02,4,,,Block_3,A1002
A1025,A,10,02,5,,,Block_3,A1002
A1026,A,10,02,6,,,Block_3,A1002
A1027,A,10,02,7,,,Block_3,A1002
A1028,A,10,02,8,,,Block_3,A1002
A1029,A,10,02,9,,,Block_3,A1002
A10210,A,10,02,10,,,Block_3,A1002
A1111,A,11,01,1,2,60.28,Block_3,A1101
A1112,A,11,01,2,0,56.04,Block_3,A1101
A1113,A,11,01,3,2,56.7,Block_3,A1101
A1114,A,11,01,4,3,66.92,Block_3,A1101
A1115,A,11,01,5,3,63.57,Block_3,A1101
A1116,A,11,01,6,0,58.89,Block_3,A1101
A1117,A,11,01,7,0,56.59,Block_3,A1101
A1118,A,11,01,8,2,55.01,Block_3,A1101
A1119,A,11,01,9,1,58.32,Block_3,A1101
A11110,A,11,01,10,0,52.67,Block_3,A1101
A1121,A,11,02,1,,,Block_3,A1102
A1122,A,11,02,2,,,Block_3,A1102
A1123,A,11,02,3,,,Block_3,A1102
A1124,A,11,02,4,,,Block_3,A1102
A1125,A,11,02,5,,,Block_3,A1102
A1126,A,11,02,6,,,Block_3,A1102
A1127,A,11,02,7,,,Block_3,A1102
A1128,A,11,02,8,,,Block_3,A1102
A1129,A,11,02,9,,,Block_3,A1102
A11210,A,11,02,10,,,Block_3,A1102
B111,B,01,01,1,0,63.55,Block_1,B0101
B112,B,01,01,2,0,65.75,Block_1,B0101
B113,B,01,01,3,0,56.3,Block_1,B0101
B114,B,01,01,4,0,57.98,Block_1,B0101
B115,B,01,01,5,0,56.79,Block_1,B0101
B116,B,01,01,6,0,49.16,Block_1,B0101
B117,B,01,01,7,0,69.3,Block_1,B0101
B118,B,01,01,8,0,59.97,Block_1,B0101
B119,B,01,01,9,0,58.45,Block_1,B0101
B1110,B,01,01,10,0,55.57,Block_1,B0101
B121,B,01,02,1,0,57.78,Block_1,B0102
B122,B,01,02,2,0,60.53,Block_1,B0102
B123,B,01,02,3,0,63.63,Block_1,B0102
B124,B,01,02,4,0,62.08,Block_1,B0102
B125,B,01,02,5,0,61.18,Block_1,B0102
B126,B,01,02,6,0,59.45,Block_1,B0102
B127,B,01,02,7,0,64.51,Block_1,B0102
B128,B,01,02,8,0,55.05,Block_1,B0102
B129,B,01,02,9,0,60.97,Block_1,B0102
B1210,B,01,02,10,0,60.56,Block_1,B0102
B211,B,02,01,1,0,62.69,Block_1,B0201
B212,B,02,01,2,0,69.36,Block_1,B0201
B213,B,02,01,3,0,60.9,Block_1,B0201
B214,B,02,01,4,0,67.05,Block_1,B0201
B215,B,02,01,5,0,60.65,Block_1,B0201
B216,B,02,01,6,0,50.21,Block_1,B0201
B217,B,02,01,7,0,52.51,Block_1,B0201
B218,B,02,01,8,,,Block_1,B0201
B219,B,02,01,9,,,Block_1,B0201
B2110,B,02,01,10,,,Block_1,B0201
B221,B,02,02,1,0,75.89,Block_1,B0202
B222,B,02,02,2,0,60.24,Block_1,B0202
B223,B,02,02,3,0,62.49,Block_1,B0202
B224,B,02,02,4,0,59.33,Block_1,B0202
B225,B,02,02,5,0,73.31,Block_1,B0202
B226,B,02,02,6,0,57.9,Block_1,B0202
B227,B,02,02,7,0,50.29,Block_1,B0202
B228,B,02,02,8,0,61.32,Block_1,B0202
B229,B,02,02,9,0,48.27,Block_1,B0202
B2210,B,02,02,10,0,65.51,Block_1,B0202
B311,B,03,01,1,0,62.98,Block_1,B0301
B312,B,03,01,2,0,55.22,Block_1,B0301
B313,B,03,01,3,0,52.38,Block_1,B0301
B314,B,03,01,4,0,56.96,Block_1,B0301
B315,B,03,01,5,0,50.97,Block_1,B0301
B316,B,03,01,6,0,72.04,Block_1,B0301
B317,B,03,01,7,0,51.5,Block_1,B0301
B318,B,03,01,8,0,56.21,Block_1,B0301
B319,B,03,01,9,0,55.39,Block_1,B0301
B3110,B,03,01,10,0,55.11,Block_1,B0301
B321,B,03,02,1,0,54.04,Block_1,B0302
B322,B,03,02,2,0,54.69,Block_1,B0302
B323,B,03,02,3,0,49.02,Block_1,B0302
B324,B,03,02,4,0,48.94,Block_1,B0302
B325,B,03,02,5,0,41.07,Block_1,B0302
B326,B,03,02,6,,,Block_1,B0302
B327,B,03,02,7,,,Block_1,B0302
B328,B,03,02,8,,,Block_1,B0302
B329,B,03,02,9,,,Block_1,B0302
B3210,B,03,02,10,,,Block_1,B0302
B411,B,04,01,1,0,46.17,Block_2,B0401
B412,B,04,01,2,0,64.54,Block_2,B0401
B413,B,04,01,3,0,59.73,Block_2,B0401
B414,B,04,01,4,0,59.99,Block_2,B0401
B415,B,04,01,5,0,62.58,Block_2,B0401
B416,B,04,01,6,0,56.09,Block_2,B0401
B417,B,04,01,7,0,55.94,Block_2,B0401
B418,B,04,01,8,0,67.62,Block_2,B0401
B419,B,04,01,9,0,66.75,Block_2,B0401
B4110,B,04,01,10,0,59.27,Block_2,B0401
B421,B,04,02,1,0,60.19,Block_2,B0402
B422,B,04,02,2,0,49.86,Block_2,B0402
B423,B,04,02,3,0,47.6,Block_2,B0402
B424,B,04,02,4,0,54.07,Block_2,B0402
B425,B,04,02,5,0,53.03,Block_2,B0402
B426,B,04,02,6,0,46.84,Block_2,B0402
B427,B,04,02,7,0,64.86,Block_2,B0402
B428,B,04,02,8,0,50.8,Block_2,B0402
B429,B,04,02,9,0,57.61,Block_2,B0402
B4210,B,04,02,10,0,51.74,Block_2,B0402
B511,B,05,01,1,0,51.54,Block_2,B0501
B512,B,05,01,2,0,60.22,Block_2,B0501
B513,B,05,01,3,0,47.66,Block_2,B0501
B514,B,05,01,4,0,74.06,Block_2,B0501
B515,B,05,01,5,0,70.86,Block_2,B0501
B516,B,05,01,6,0,57.69,Block_2,B0501
B517,B,05,01,7,0,55.05,Block_2,B0501
B518,B,05,01,8,0,52.83,Block_2,B0501
B519,B,05,01,9,0,58.19,Block_2,B0501
B5110,B,05,01,10,0,51.64,Block_2,B0501
B521,B,05,02,1,0,51.17,Block_2,B0502
B522,B,05,02,2,0,53.5,Block_2,B0502
B523,B,05,02,3,0,44.48,Block_2,B0502
B524,B,05,02,4,0,54.14,Block_2,B0502
B525,B,05,02,5,0,47.68,Block_2,B0502
B526,B,05,02,6,0,54.22,Block_2,B0502
B527,B,05,02,7,0,48.08,Block_2,B0502
B528,B,05,02,8,0,50.18,Block_2,B0502
B529,B,05,02,9,0,45.01,Block_2,B0502
B5210,B,05,02,10,0,48.03,Block_2,B0502
B611,B,06,01,1,,,Block_2,B0601
B612,B,06,01,2,,,Block_2,B0601
B613,B,06,01,3,,,Block_2,B0601
B614,B,06,01,4,,,Block_2,B0601
B615,B,06,01,5,,,Block_2,B0601
B616,B,06,01,6,,,Block_2,B0601
B617,B,06,01,7,,,Block_2,B0601
B618,B,06,01,8,,,Block_2,B0601
B619,B,06,01,9,,,Block_2,B0601
B6110,B,06,01,10,,,Block_2,B0601
B621,B,06,02,1,,,Block_2,B0602
B622,B,06,02,2,,,Block_2,B0602
B623,B,06,02,3,,,Block_2,B0602
B624,B,06,02,4,,,Block_2,B0602
B625,B,06,02,5,,,Block_2,B0602
B626,B,06,02,6,,,Block_2,B0602
B627,B,06,02,7,,,Block_2,B0602
B628,B,06,02,8,,,Block_2,B0602
B629,B,06,02,9,,,Block_2,B0602
B6210,B,06,02,10,,,Block_2,B0602
