Code,Treatment,Repet,Tree,Fruit,Nseeds,FrDiam,Block,TreeCode
C625,C,06,02,5,0,50.51,Block_2,C0602
C626,C,06,02,6,0,60.9,Block_2,C0602
C627,C,06,02,7,0,62.85,Block_2,C0602
C628,C,06,02,8,0,55,Block_2,C0602
C629,C,06,02,9,0,61.26,Block_2,C0602
C6210,C,06,02,10,0,50.52,Block_2,C0602
C711,C,07,01,1,1,62.54,Block_2,C0701
C712,C,07,01,2,0,54.02,Block_2,C0701
C713,C,07,01,3,0,53.98,Block_2,C0701
C714,C,07,01,4,1,63.79,Block_2,C0701
C715,C,07,01,5,0,55.8,Block_2,C0701
C716,C,07,01,6,1,65.65,Block_2,C0701
C717,C,07,01,7,0,59.39,Block_2,C0701
C718,C,07,01,8,0,52.47,Block_2,C0701
C719,C,07,01,9,0,53.91,Block_2,C0701
C7110,C,07,01,10,0,53.1,Block_2,C0701
C721,C,07,02,1,0,57.32,Block_2,C0702
C722,C,07,02,2,1,63.73,Block_2,C0702
C723,C,07,02,3,0,70.83,Block_2,C0702
C724,C,07,02,4,0,66.99,Block_2,C0702
C725,C,07,02,5,0,56.53,Block_2,C0702
C726,C,07,02,6,0,68.15,Block_2,C0702
C727,C,07,02,7,0,62.86,Block_2,C0702
C728,C,07,02,8,0,65.23,Block_2,C0702
C729,C,07,02,9,0,60.58,Block_2,C0702
C7210,C,07,02,10,0,49.16,Block_2,C0702
C811,C,08,01,1,0,71.79,Block_3,C0801
C812,C,08,01,2,0,81.76,Block_3,C0801
C813,C,08,01,3,0,56.05,Block_3,C0801
C814,C,08,01,4,0,65.69,Block_3,C0801
C815,C,08,01,5,0,55.16,Block_3,C0801
C816,C,08,01,6,0,63.46,Block_3,C0801
C817,C,08,01,7,0,60.42,Block_3,C0801
C818,C,08,01,8,0,61.61,Block_3,C0801
C819,C,08,01,9,0,63.52,Block_3,C0801
C8110,C,08,01,10,0,58.07,Block_3,C0801
C821,C,08,02,1,0,61.53,Block_3,C0802
C822,C,08,02,2,0,48.5,Block_3,C0802
C823,C,08,02,3,0,48.54,Block_3,C0802
C824,C,08,02,4,0,57.19,Block_3,C0802
C825,C,08,02,5,0,55.94,Block_3,C0802
C826,C,08,02,6,0,53.64,Block_3,C0802
C827,C,08,02,7,0,48.87,Block_3,C0802
C828,C,08,02,8,0,48.85,Block_3,C0802
C829,C,08,02,9,0,52.85,Block_3,C0802
C8210,C,08,02,10,0,46.36,Block_3,C0802
C911,C,09,01,1,,,Block_3,C0901
C912,C,09,01,2,,,Block_3,C0901
C913,C,09,01,3,,,Block_3,C0901
C914,C,09,01,4,,,Block_3,C0901
C915,C,09,01,5,,,Block_3,C0901
C916,C,09,01,6,,,Block_3,C0901
C917,C,09,01,7,,,Block_3,C0901
C918,C,09,01,8,,,Block_3,C0901
C919,C,09,01,9,,,Block_3,C0901
C9110,C,09,01,10,,,Block_3,C0901
C921,C,09,02,1,2,54.66,Block_3,C0902
C922,C,09,02,2,2,51.62,Block_3,C0902
C923,C,09,02,3,0,42.68,Block_3,C0902
C924,C,09,02,4,1,51.87,Block_3,C0902
C925,C,09,02,5,0,47.78,Block_3,C0902
C926,C,09,02,6,0,51.26,Block_3,C0902
C927,C,09,02,7,2,56.98,Block_3,C0902
C928,C,09,02,8,3,57.21,Block_3,C0902
C929,C,09,02,9,1,55.19,Block_3,C0902
C9210,C,09,02,10,0,50.23,Block_3,C0902
C1011,C,10,01,1,2,60.44,Block_3,C1001
C1012,C,10,01,2,0,62.26,Block_3,C1001
C1013,C,10,01,3,8,75.17,Block_3,C1001
C1014,C,10,01,4,2,70.39,Block_3,C1001
C1015,C,10,01,5,1,55.11,Block_3,C1001
C1016,C,10,01,6,0,54.32,Block_3,C1001
C1017,C,10,01,7,0,57.38,Block_3,C1001
C1018,C,10,01,8,3,62.8,Block_3,C1001
C1019,C,10,01,9,4,71.69,Block_3,C1001
C10110,C,10,01,10,1,32.72,Block_3,C1001
C1021,C,10,02,1,1,71.4,Block_3,C1002
C1022,C,10,02,2,1,56.72,Block_3,C1002
C1023,C,10,02,3,0,56.19,Block_3,C1002
C1024,C,10,02,4,0,54.83,Block_3,C1002
C1025,C,10,02,5,2,62.46,Block_3,C1002
C1026,C,10,02,6,0,56.36,Block_3,C1002
C1027,C,10,02,7,0,64.13,Block_3,C1002
C1028,C,10,02,8,0,55.09,Block_3,C1002
C1029,C,10,02,9,0,61.32,Block_3,C1002
C10210,C,10,02,10,0,45.84,Block_3,C1002
C1111,C,11,01,1,,,Block_3,C1101
C1112,C,11,01,2,,,Block_3,C1101
C1113,C,11,01,3,,,Block_3,C1101
C1114,C,11,01,4,,,Block_3,C1101
C1115,C,11,01,5,,,Block_3,C1101
C1116,C,11,01,6,,,Block_3,C1101
C1117,C,11,01,7,,,Block_3,C1101
C1118,C,11,01,8,,,Block_3,C1101
C1119,C,11,01,9,,,Block_3,C1101
C11110,C,11,01,10,,,Block_3,C1101
C1121,C,11,02,1,,,Block_3,C1102
C1122,C,11,02,2,,,Block_3,C1102
C1123,C,11,02,3,,,Block_3,C1102
C1124,C,11,02,4,,,Block_3,C1102
C1125,C,11,02,5,,,Block_3,C1102
C1126,C,11,02,6,,,Block_3,C1102
C1127,C,11,02,7,,,Block_3,C1102
C1128,C,11,02,8,,,Block_3,C1102
C1129,C,11,02,9,,,Block_3,C1102
C11210,C,11,02,10,,,Block_3,C1102
D111,D,01,01,1,0,64.82,Block_1,D0101
D112,D,01,01,2,3,78.38,Block_1,D0101
D113,D,01,01,3,0,58.9,Block_1,D0101
D114,D,01,01,4,2,63.1,Block_1,D0101
D115,D,01,01,5,0,59.68,Block_1,D0101
D116,D,01,01,6,0,54.05,Block_1,D0101
D117,D,01,01,7,0,56.05,Block_1,D0101
D118,D,01,01,8,0,65.41,Block_1,D0101
D119,D,01,01,9,0,60.31,Block_1,D0101
D1110,D,01,01,10,0,57.36,Block_1,D0101
D121,D,01,02,1,2,62.78,Block_1,D0102
D122,D,01,02,2,0,54.08,Block_1,D0102
D123,D,01,02,3,2,66.33,Block_1,D0102
D124,D,01,02,4,0,50.23,Block_1,D0102
D125,D,01,02,5,1,64.1,Block_1,D0102
D126,D,01,02,6,0,46.3,Block_1,D0102
D127,D,01,02,7,0,51.47,Block_1,D0102
D128,D,01,02,8,0,61.95,Block_1,D0102
D129,D,01,02,9,4,66.3,Block_1,D0102
D1210,D,01,02,10,2,59.9,Block_1,D0102
D211,D,02,01,1,1,62.1,Block_1,D0201
D212,D,02,01,2,2,62.07,Block_1,D0201
D213,D,02,01,3,2,51.36,Block_1,D0201
D214,D,02,01,4,0,57.11,Block_1,D0201
D215,D,02,01,5,4,69.91,Block_1,D0201
D216,D,02,01,6,1,58.15,Block_1,D0201
D217,D,02,01,7,4,70.22,Block_1,D0201
D218,D,02,01,8,1,61.95,Block_1,D0201
D219,D,02,01,9,0,63.87,Block_1,D0201
D2110,D,02,01,10,0,51.27,Block_1,D0201
D221,D,02,02,1,1,63.15,Block_1,D0202
D222,D,02,02,2,0,50.51,Block_1,D0202
D223,D,02,02,3,0,53.1,Block_1,D0202
D224,D,02,02,4,0,56.96,Block_1,D0202
D225,D,02,02,5,1,54.62,Block_1,D0202
D226,D,02,02,6,0,62.52,Block_1,D0202
D227,D,02,02,7,1,57.53,Block_1,D0202
D228,D,02,02,8,0,52.96,Block_1,D0202
D229,D,02,02,9,0,50.58,Block_1,D0202
D2210,D,02,02,10,0,49.15,Block_1,D0202
D311,D,03,01,1,,,Block_1,D0301
D312,D,03,01,2,,,Block_1,D0301
D313,D,03,01,3,,,Block_1,D0301
D314,D,03,01,4,,,Block_1,D0301
D315,D,03,01,5,,,Block_1,D0301
D316,D,03,01,6,,,Block_1,D0301
D317,D,03,01,7,,,Block_1,D0301
D318,D,03,01,8,,,Block_1,D0301
D319,D,03,01,9,,,Block_1,D0301
D3110,D,03,01,10,,,Block_1,D0301
D321,D,03,02,1,0,70.35,Block_1,D0302
D322,D,03,02,2,2,62.83,Block_1,D0302
D323,D,03,02,3,3,69.08,Block_1,D0302
D324,D,03,02,4,0,56.7,Block_1,D0302
D325,D,03,02,5,0,73.95,Block_1,D0302
D326,D,03,02,6,0,61.09,Block_1,D0302
D327,D,03,02,7,0,64.33,Block_1,D0302
D328,D,03,02,8,0,72.1,Block_1,D0302
D329,D,03,02,9,0,60.19,Block_1,D0302
D3210,D,03,02,10,0,56.49,Block_1,D0302
D411,D,04,01,1,0,60.07,Block_2,D0401
D412,D,04,01,2,0,71.87,Block_2,D0401
D413,D,04,01,3,0,57.13,Block_2,D0401
D414,D,04,01,4,0,57.62,Block_2,D0401
D415,D,04,01,5,0,60.74,Block_2,D0401
D416,D,04,01,6,0,68.59,Block_2,D0401
D417,D,04,01,7,0,62.13,Block_2,D0401
D418,D,04,01,8,0,62.75,Block_2,D0401
D419,D,04,01,9,0,59.21,Block_2,D0401
D4110,D,04,01,10,0,57.3,Block_2,D0401
D421,D,04,02,1,2,58.44,Block_2,D0402
D422,D,04,02,2,0,67.04,Block_2,D0402
D423,D,04,02,3,0,55.15,Block_2,D0402
D424,D,04,02,4,3,73.16,Block_2,D0402
D425,D,04,02,5,1,63.68,Block_2,D0402
D426,D,04,02,6,2,71.14,Block_2,D0402
D427,D,04,02,7,0,61.71,Block_2,D0402
D428,D,04,02,8,3,68.47,Block_2,D0402
D429,D,04,02,9,0,52.22,Block_2,D0402
D4210,D,04,02,10,1,61.82,Block_2,D0402
D511,D,05,01,1,1,68.21,Block_2,D0501
D512,D,05,01,2,2,57.7,Block_2,D0501
D513,D,05,01,3,1,63.62,Block_2,D0501
D514,D,05,01,4,0,53.9,Block_2,D0501
D515,D,05,01,5,3,70.37,Block_2,D0501
D516,D,05,01,6,3,66.01,Block_2,D0501
D517,D,05,01,7,5,64.73,Block_2,D0501
D518,D,05,01,8,0,56.37,Block_2,D0501
D519,D,05,01,9,1,49.46,Block_2,D0501
D5110,D,05,01,10,0,50.36,Block_2,D0501
D521,D,05,02,1,1,63.34,Block_2,D0502
D522,D,05,02,2,1,52.86,Block_2,D0502
D523,D,05,02,3,0,46.69,Block_2,D0502
D524,D,05,02,4,0,55,Block_2,D0502
D525,D,05,02,5,0,50.73,Block_2,D0502
D526,D,05,02,6,3,64,Block_2,D0502
D527,D,05,02,7,2,62.85,Block_2,D0502
D528,D,05,02,8,2,61.6,Block_2,D0502
D529,D,05,02,9,0,68.27,Block_2,D0502
D5210,D,05,02,10,3,78.62,Block_2,D0502
D611,D,06,01,1,,,Block_2,D0601
D612,D,06,01,2,,,Block_2,D0601
D613,D,06,01,3,,,Block_2,D0601
D614,D,06,01,4,,,Block_2,D0601
D615,D,06,01,5,,,Block_2,D0601
D616,D,06,01,6,,,Block_2,D0601
D617,D,06,01,7,,,Block_2,D0601
D618,D,06,01,8,,,Block_2,D0601
D619,D,06,01,9,,,Block_2,D0601
D6110,D,06,01,10,,,Block_2,D0601
D621,D,06,02,1,0,45.52,Block_2,D0602
D622,D,06,02,2,0,51.19,Block_2,D0602
D623,D,06,02,3,0,51.63,Block_2,D0602
D624,D,06,02,4,0,51.38,Block_2,D0602
D625,D,06,02,5,0,49.41,Block_2,D0602
D626,D,06,02,6,0,47.08,Block_2,D0602
D627,D,06,02,7,0,46.57,Block_2,D0602
D628,D,06,02,8,0,57.51,Block_2,D0602
D629,D,06,02,9,,,Block_2,D0602
D6210,D,06,02,10,,,Block_2,D0602
D711,D,07,01,1,4,64.5,Block_2,D0701
D712,D,07,01,2,1,58.48,Block_2,D0701
D713,D,07,01,3,1,62.08,Block_2,D0701
D714,D,07,01,4,0,55.24,Block_2,D0701
D715,D,07,01,5,0,63.54,Block_2,D0701
D716,D,07,01,6,2,54.12,Block_2,D0701
D717,D,07,01,7,1,49.98,Block_2,D0701
D718,D,07,01,8,0,49.72,Block_2,D0701
D719,D,07,01,9,2,53.7,Block_2,D0701
D7110,D,07,01,10,0,57.92,Block_2,D0701
D721,D,07,02,1,0,60.39,Block_2,D0702
D722,D,07,02,2,0,52.47,Block_2,D0702
D723,D,07,02,3,0,58.89,Block_2,D0702
D724,D,07,02,4,0,52.27,Block_2,D0702
D725,D,07,02,5,0,54.88,Block_2,D0702
D726,D,07,02,6,0,54.03,Block_2,D0702
D727,D,07,02,7,2,57.14,Block_2,D0702
D728,D,07,02,8,0,45.61,Block_2,D0702
D729,D,07,02,9,1,52.43,Block_2,D0702
D7210,D,07,02,10,0,48.2,Block_2,D0702
D811,D,08,01,1,0,61.54,Block_3,D0801
D812,D,08,01,2,2,70.12,Block_3,D0801
D813,D,08,01,3,4,64.25,Block_3,D0801
D814,D,08,01,4,1,60.15,Block_3,D0801
D815,D,08,01,5,1,45.56,Block_3,D0801
D816,D,08,01,6,0,53.84,Block_3,D0801
D817,D,08,01,7,4,58.65,Block_3,D0801
D818,D,08,01,8,0,51.6,Block_3,D0801
D819,D,08,01,9,0,67.78,Block_3,D0801
D8110,D,08,01,10,1,58.35,Block_3,D0801
D821,D,08,02,1,0,56.75,Block_3,D0802
D822,D,08,02,2,3,52.69,Block_3,D0802
D823,D,08,02,3,5,66.1,Block_3,D0802
D824,D,08,02,4,3,56.54,Block_3,D0802
D825,D,08,02,5,0,59.06,Block_3,D0802
D826,D,08,02,6,1,60.98,Block_3,D0802
D827,D,08,02,7,0,58.41,Block_3,D0802
D828,D,08,02,8,1,62.43,Block_3,D0802
D829,D,08,02,9,3,62,Block_3,D0802
D8210,D,08,02,10,1,53.14,Block_3,D0802
D911,D,09,01,1,,,Block_3,D0901
D912,D,09,01,2,,,Block_3,D0901
D913,D,09,01,3,,,Block_3,D0901
D914,D,09,01,4,,,Block_3,D0901
D915,D,09,01,5,,,Block_3,D0901
D916,D,09,01,6,,,Block_3,D0901
D917,D,09,01,7,,,Block_3,D0901
D918,D,09,01,8,,,Block_3,D0901
D919,D,09,01,9,,,Block_3,D0901
D9110,D,09,01,10,,,Block_3,D0901
D921,D,09,02,1,,,Block_3,D0902
D922,D,09,02,2,,,Block_3,D0902
D923,D,09,02,3,,,Block_3,D0902
D924,D,09,02,4,,,Block_3,D0902
D925,D,09,02,5,,,Block_3,D0902
D926,D,09,02,6,,,Block_3,D0902
D927,D,09,02,7,,,Block_3,D0902
D928,D,09,02,8,,,Block_3,D0902
D929,D,09,02,9,,,Block_3,D0902
D9210,D,09,02,10,,,Block_3,D0902
D1011,D,10,01,1,4,61.06,Block_3,D1001
D1012,D,10,01,2,2,57.1,Block_3,D1001
D1013,D,10,01,3,3,60.61,Block_3,D1001
D1014,D,10,01,4,0,56.58,Block_3,D1001
D1015,D,10,01,5,3,57.54,Block_3,D1001
D1016,D,10,01,6,7,62.52,Block_3,D1001
D1017,D,10,01,7,3,60.96,Block_3,D1001
D1018,D,10,01,8,6,69.5,Block_3,D1001
D1019,D,10,01,9,0,64,Block_3,D1001
D10110,D,10,01,10,2,52.71,Block_3,D1001
D1021,D,10,02,1,5,65.56,Block_3,D1002
D1022,D,10,02,2,3,55.91,Block_3,D1002
D1023,D,10,02,3,4,70.21,Block_3,D1002
D1024,D,10,02,4,3,58.17,Block_3,D1002
D1025,D,10,02,5,4,60.57,Block_3,D1002
D1026,D,10,02,6,2,58.33,Block_3,D1002
D1027,D,10,02,7,1,59.27,Block_3,D1002
D1028,D,10,02,8,2,57.74,Block_3,D1002
D1029,D,10,02,9,2,53.81,Block_3,D1002
D10210,D,10,02,10,2,50.17,Block_3,D1002
D1111,D,11,01,1,0,55.7,Block_3,D1101
D1112,D,11,01,2,0,52.4,Block_3,D1101
D1113,D,11,01,3,2,60.63,Block_3,D1101
D1114,D,11,01,4,0,50.1,Block_3,D1101
D1115,D,11,01,5,0,49.17,Block_3,D1101
D1116,D,11,01,6,2,48.37,Block_3,D1101
D1117,D,11,01,7,0,46.21,Block_3,D1101
D1118,D,11,01,8,0,48.37,Block_3,D1101
D1119,D,11,01,9,0,44.35,Block_3,D1101
D11110,D,11,01,10,1,45.51,Block_3,D1101
D1121,D,11,02,1,,,Block_3,D1102
D1122,D,11,02,2,,,Block_3,D1102
D1123,D,11,02,3,,,Block_3,D1102
D1124,D,11,02,4,,,Block_3,D1102
D1125,D,11,02,5,,,Block_3,D1102
D1126,D,11,02,6,,,Block_3,D1102
D1127,D,11,02,7,,,Block_3,D1102
D1128,D,11,02,8,,,Block_3,D1102
D1129,D,11,02,9,,,Block_3,D1102
D11210,D,11,02,10,,,Block_3,D1102
E111,E,01,01,1,3,55.95,Block_1,E0101
E112,E,01,01,2,3,57.01,Block_1,E0101
E113,E,01,01,3,4,63.48,Block_1,E0101
E114,E,01,01,4,2,60.49,Block_1,E0101
E115,E,01,01,5,0,54.42,Block_1,E0101
E116,E,01,01,6,1,62.87,Block_1,E0101
E117,E,01,01,7,2,53.51,Block_1,E0101
E118,E,01,01,8,1,56.65,Block_1,E0101
E119,E,01,01,9,2,56.79,Block_1,E0101
E1110,E,01,01,10,2,54.79,Block_1,E0101
E121,E,01,02,1,1,62.56,Block_1,E0102
E122,E,01,02,2,3,53.8,Block_1,E0102
E123,E,01,02,3,5,63.86,Block_1,E0102
E124,E,01,02,4,2,56.78,Block_1,E0102
E125,E,01,02,5,1,57.99,Block_1,E0102
E126,E,01,02,6,0,51.19,Block_1,E0102
E127,E,01,02,7,2,64.8,Block_1,E0102
E128,E,01,02,8,0,49.53,Block_1,E0102
E129,E,01,02,9,1,58.66,Block_1,E0102
E1210,E,01,02,10,2,67.96,Block_1,E0102
E211,E,02,01,1,3,59.27,Block_1,E0201
E212,E,02,01,2,6,57.39,Block_1,E0201
E213,E,02,01,3,0,58.53,Block_1,E0201
E214,E,02,01,4,4,55.66,Block_1,E0201
E215,E,02,01,5,4,62.13,Block_1,E0201
E216,E,02,01,6,2,58.58,Block_1,E0201
E217,E,02,01,7,2,55.09,Block_1,E0201
E218,E,02,01,8,0,48.43,Block_1,E0201
E219,E,02,01,9,0,45.92,Block_1,E0201
E2110,E,02,01,10,3,64.39,Block_1,E0201
E221,E,02,02,1,0,59.98,Block_1,E0202
E222,E,02,02,2,2,62.21,Block_1,E0202
E223,E,02,02,3,1,55.21,Block_1,E0202
E224,E,02,02,4,3,63.61,Block_1,E0202
E225,E,02,02,5,3,69.25,Block_1,E0202
E226,E,02,02,6,3,59.29,Block_1,E0202
E227,E,02,02,7,1,59,Block_1,E0202
E228,E,02,02,8,1,46.86,Block_1,E0202
E229,E,02,02,9,0,49.94,Block_1,E0202
E2210,E,02,02,10,1,50.85,Block_1,E0202
E311,E,03,01,1,,,Block_1,E0301
E312,E,03,01,2,,,Block_1,E0301
E313,E,03,01,3,,,Block_1,E0301
E314,E,03,01,4,,,Block_1,E0301
E315,E,03,01,5,,,Block_1,E0301
E316,E,03,01,6,,,Block_1,E0301
E317,E,03,01,7,,,Block_1,E0301
E318,E,03,01,8,,,Block_1,E0301
E319,E,03,01,9,,,Block_1,E0301
E3110,E,03,01,10,,,Block_1,E0301
E321,E,03,02,1,0,70.23,Block_1,E0302
E322,E,03,02,2,5,72.35,Block_1,E0302
E323,E,03,02,3,0,63.32,Block_1,E0302
E324,E,03,02,4,2,55.02,Block_1,E0302
E325,E,03,02,5,8,68.89,Block_1,E0302
E326,E,03,02,6,2,57.27,Block_1,E0302
E327,E,03,02,7,2,64.76,Block_1,E0302
E328,E,03,02,8,4,59.77,Block_1,E0302
E329,E,03,02,9,0,58.4,Block_1,E0302
E3210,E,03,02,10,0,49.24,Block_1,E0302
E411,E,04,01,1,0,53.54,Block_2,E0401
E412,E,04,01,2,0,56.61,Block_2,E0401
E413,E,04,01,3,0,56.92,Block_2,E0401
E414,E,04,01,4,0,57.7,Block_2,E0401
E415,E,04,01,5,0,60.58,Block_2,E0401
E416,E,04,01,6,1,61.64,Block_2,E0401
E417,E,04,01,7,0,64.5,Block_2,E0401
E418,E,04,01,8,0,60.37,Block_2,E0401
E419,E,04,01,9,1,51.43,Block_2,E0401
E4110,E,04,01,10,0,44.98,Block_2,E0401
E421,E,04,02,1,1,68.69,Block_2,E0402
E422,E,04,02,2,0,59.52,Block_2,E0402
E423,E,04,02,3,1,55.36,Block_2,E0402
E424,E,04,02,4,1,59.62,Block_2,E0402
E425,E,04,02,5,1,51.77,Block_2,E0402
E426,E,04,02,6,0,57.22,Block_2,E0402
E427,E,04,02,7,2,70.2,Block_2,E0402
E428,E,04,02,8,1,57.35,Block_2,E0402
E429,E,04,02,9,2,66.31,Block_2,E0402
E4210,E,04,02,10,1,54.97,Block_2,E0402
E511,E,05,01,1,0,66.41,Block_2,E0501
E512,E,05,01,2,0,55.5,Block_2,E0501
E513,E,05,01,3,0,58.17,Block_2,E0501
E514,E,05,01,4,0,58.25,Block_2,E0501
E515,E,05,01,5,0,59.41,Block_2,E0501
E516,E,05,01,6,0,55.46,Block_2,E0501
E517,E,05,01,7,0,49.4,Block_2,E0501
E518,E,05,01,8,0,48.85,Block_2,E0501
E519,E,05,01,9,0,50.92,Block_2,E0501
E5110,E,05,01,10,0,52.55,Block_2,E0501
E521,E,05,02,1,0,51.82,Block_2,E0502
E522,E,05,02,2,0,58.13,Block_2,E0502
E523,E,05,02,3,0,54.59,Block_2,E0502
E524,E,05,02,4,0,60,Block_2,E0502
E525,E,05,02,5,0,59.98,Block_2,E0502
E526,E,05,02,6,0,49.84,Block_2,E0502
E527,E,05,02,7,0,50.82,Block_2,E0502
E528,E,05,02,8,0,60.03,Block_2,E0502
E529,E,05,02,9,0,49.82,Block_2,E0502
E5210,E,05,02,10,0,48.83,Block_2,E0502
E611,E,06,01,1,0,58.98,Block_2,E0601
E612,E,06,01,2,1,57.58,Block_2,E0601
E613,E,06,01,3,3,62.65,Block_2,E0601
E614,E,06,01,4,2,51.11,Block_2,E0601
E615,E,06,01,5,0,55.72,Block_2,E0601
E616,E,06,01,6,0,48.55,Block_2,E0601
E617,E,06,01,7,0,55.1,Block_2,E0601
E618,E,06,01,8,1,56.75,Block_2,E0601
E619,E,06,01,9,0,43.06,Block_2,E0601
E6110,E,06,01,10,0,58.32,Block_2,E0601
E621,E,06,02,1,,,Block_2,E0602
E622,E,06,02,2,,,Block_2,E0602
E623,E,06,02,3,,,Block_2,E0602
E624,E,06,02,4,,,Block_2,E0602
E625,E,06,02,5,,,Block_2,E0602
E626,E,06,02,6,,,Block_2,E0602
E627,E,06,02,7,,,Block_2,E0602
E628,E,06,02,8,,,Block_2,E0602
E629,E,06,02,9,,,Block_2,E0602
E6210,E,06,02,10,,,Block_2,E0602
E711,E,07,01,1,,,Block_2,E0701
E712,E,07,01,2,,,Block_2,E0701
E713,E,07,01,3,,,Block_2,E0701
E714,E,07,01,4,,,Block_2,E0701
E715,E,07,01,5,,,Block_2,E0701
E716,E,07,01,6,,,Block_2,E0701
E717,E,07,01,7,,,Block_2,E0701
E718,E,07,01,8,,,Block_2,E0701
E719,E,07,01,9,,,Block_2,E0701
E7110,E,07,01,10,,,Block_2,E0701
E721,E,07,02,1,,,Block_2,E0702
E722,E,07,02,2,,,Block_2,E0702
E723,E,07,02,3,,,Block_2,E0702
E724,E,07,02,4,,,Block_2,E0702
E725,E,07,02,5,,,Block_2,E0702
E726,E,07,02,6,,,Block_2,E0702
E727,E,07,02,7,,,Block_2,E0702
E728,E,07,02,8,,,Block_2,E0702
E729,E,07,02,9,,,Block_2,E0702
E7210,E,07,02,10,,,Block_2,E0702
E811,E,08,01,1,,,Block_3,E0801
E812,E,08,01,2,,,Block_3,E0801
E813,E,08,01,3,,,Block_3,E0801
E814,E,08,01,4,,,Block_3,E0801
E815,E,08,01,5,,,Block_3,E0801
E816,E,08,01,6,,,Block_3,E0801
E817,E,08,01,7,,,Block_3,E0801
E818,E,08,01,8,,,Block_3,E0801
E819,E,08,01,9,,,Block_3,E0801
E8110,E,08,01,10,,,Block_3,E0801
E821,E,08,02,1,,,Block_3,E0802
E822,E,08,02,2,,,Block_3,E0802
E823,E,08,02,3,,,Block_3,E0802
E824,E,08,02,4,,,Block_3,E0802
E825,E,08,02,5,,,Block_3,E0802
E826,E,08,02,6,,,Block_3,E0802
E827,E,08,02,7,,,Block_3,E0802
E828,E,08,02,8,,,Block_3,E0802
E829,E,08,02,9,,,Block_3,E0802
E8210,E,08,02,10,,,Block_3,E0802
E911,E,09,01,1,1,57.76,Block_3,E0901
E912,E,09,01,2,0,55.02,Block_3,E0901
E913,E,09,01,3,2,61.05,Block_3,E0901
E914,E,09,01,4,0,54.04,Block_3,E0901
E915,E,09,01,5,6,69.76,Block_3,E0901
E916,E,09,01,6,4,56.86,Block_3,E0901
E917,E,09,01,7,1,66.95,Block_3,E0901
E918,E,09,01,8,1,58.68,Block_3,E0901
E919,E,09,01,9,4,66.12,Block_3,E0901
E9110,E,09,01,10,0,55.17,Block_3,E0901
E921,E,09,02,1,0,60.32,Block_3,E0902
E922,E,09,02,2,0,64.55,Block_3,E0902
E923,E,09,02,3,0,62.98,Block_3,E0902
E924,E,09,02,4,1,49.99,Block_3,E0902
E925,E,09,02,5,0,50.98,Block_3,E0902
E926,E,09,02,6,0,53.7,Block_3,E0902
E927,E,09,02,7,0,58.51,Block_3,E0902
E928,E,09,02,8,0,62.34,Block_3,E0902
E929,E,09,02,9,0,51.06,Block_3,E0902
E9210,E,09,02,10,0,57.02,Block_3,E0902
E1011,E,10,01,1,0,44.77,Block_3,E1001
E1012,E,10,01,2,0,43.05,Block_3,E1001
E1013,E,10,01,3,0,56.29,Block_3,E1001
E1014,E,10,01,4,0,48.3,Block_3,E1001
E1015,E,10,01,5,0,42.4,Block_3,E1001
E1016,E,10,01,6,10,72.21,Block_3,E1001
E1017,E,10,01,7,0,53.42,Block_3,E1001
E1018,E,10,01,8,2,55.53,Block_3,E1001
E1019,E,10,01,9,,,Block_3,E1001
E10110,E,10,01,10,,,Block_3,E1001
E1021,E,10,02,1,4,58.16,Block_3,E1002
E1022,E,10,02,2,0,55.74,Block_3,E1002
E1023,E,10,02,3,1,60.17,Block_3,E1002
E1024,E,10,02,4,0,43.91,Block_3,E1002
E1025,E,10,02,5,2,50.9,Block_3,E1002
E1026,E,10,02,6,0,56.18,Block_3,E1002
E1027,E,10,02,7,2,53.95,Block_3,E1002
E1028,E,10,02,8,1,57.31,Block_3,E1002
E1029,E,10,02,9,1,62.7,Block_3,E1002
E10210,E,10,02,10,3,63.28,Block_3,E1002
E1111,E,11,01,1,0,38.4,Block_3,E1101
E1112,E,11,01,2,1,54.8,Block_3,E1101
E1113,E,11,01,3,0,55.27,Block_3,E1101
E1114,E,11,01,4,0,52.07,Block_3,E1101
E1115,E,11,01,5,0,51.2,Block_3,E1101
E1116,E,11,01,6,0,40.1,Block_3,E1101
E1117,E,11,01,7,,,Block_3,E1101
E1118,E,11,01,8,,,Block_3,E1101
E1119,E,11,01,9,,,Block_3,E1101
E11110,E,11,01,10,,,Block_3,E1101
E1121,E,11,02,1,,,Block_3,E1102
E1122,E,11,02,2,,,Block_3,E1102
E1123,E,11,02,3,,,Block_3,E1102
E1124,E,11,02,4,,,Block_3,E1102
E1125,E,11,02,5,,,Block_3,E1102
E1126,E,11,02,6,,,Block_3,E1102
E1127,E,11,02,7,,,Block_3,E1102
E1128,E,11,02,8,,,Block_3,E1102
E1129,E,11,02,9,,,Block_3,E1102
E11210,E,11,02,10,,,Block_3,E1102
