TreeCode,ID,Treatment,Repet,Tree,Block,Yield,MNseeds,MFrDiam,MSLDate_1,MSLDate_2,MSLDate_3,PcAphidsDate_1,PcAphidsDate_2,PcAphidsDate_3
D0101,D11,D,01,01,Block_1,22.358,0.5,61.806,5.548,6.396,6.336,30,10,0
D0102,D12,D,01,02,Block_1,14.766,1.1,58.344,4.92,5.912,6.18,0,0,0
D0201,D21,D,02,01,Block_1,4.231,1.5,60.801,6.266,5.894,6.712,0,0,0
D0202,D22,D,02,02,Block_1,0.857,0.3,55.108,5.88,6.014,5.502,0,0,0
D0301,D31,D,03,01,Block_1,0,,,6.184,5.754,6.626,0,30,10
D0302,D32,D,03,02,Block_1,10.414,0.5,64.711,6.332,6.936,6.156,20,20,0
D0401,D41,D,04,01,Block_2,4.81,0,61.741,6.198,7.604,6.51,20,0,30
D0402,D42,D,04,02,Block_2,3.602,1.2,63.283,6.826,5.844,6.242,0,10,10
D0501,D51,D,05,01,Block_2,6.93,1.6,60.073,5.872,5.622,,0,0,0
D0502,D52,D,05,02,Block_2,6.114,1.2,60.396,5.002,5.456,,0,0,0
D0601,D61,D,06,01,Block_2,0,,,5.926,6.45,6.438,0,0,0
D0602,D62,D,06,02,Block_2,0.426,,,6.078,6.372,6.162,0,0,0
D0701,D71,D,07,01,Block_2,8.457,1.1,56.928,6.22,6.168,6.334,0,10,0
D0702,D72,D,07,02,Block_2,3.748,0.3,53.631,6.556,6.13,6.164,0,10,0
D0801,D81,D,08,01,Block_3,0,1.3,59.184,,,,0,0,0
D0802,D82,D,08,02,Block_3,5.168,1.7,58.81,6.738,6.246,4.82,0,10,0
D0901,D91,D,09,01,Block_3,0,,,6.628,7.062,5.744,0,0,0
D0902,D92,D,09,02,Block_3,0,,,5.74,,,0,10,0
D1001,D101,D,10,01,Block_3,50.797,3,60.258,5.814,6.862,6.378,0,0,20
D1002,D102,D,10,02,Block_3,6.542,2.8,58.974,6.666,5.952,6.566,0,0,0
D1101,D111,D,11,01,Block_3,2.422,0.5,50.081,6.114,6.216,6.018,0,0,20
D1102,D112,D,11,02,Block_3,0,,,6.556,5.672,5.812,0,0,0
E0101,E11,E,01,01,Block_1,8.5,2,57.596,5.526,6.168,5.844,30,0,20
E0102,E12,E,01,02,Block_1,6.716,1.7,58.713,5.63,5.854,6.358,20,0,0
E0201,E21,E,02,01,Block_1,11.974,2.4,56.539,5.502,6.09,6.486,20,0,20
E0202,E22,E,02,02,Block_1,0.793,1.5,57.62,5.658,6.89,6.646,0,0,10
E0301,E31,E,03,01,Block_1,0,,,5.884,6.556,6.58,30,0,30
E0302,E32,E,03,02,Block_1,2.418,2.3,61.925,6.802,,,0,0,10
E0401,E41,E,04,01,Block_2,2.287,0.2,56.827,6.716,6.612,6.636,0,10,20
E0402,E42,E,04,02,Block_2,6.853,1,60.101,6.56,6.532,5.914,0,0,0
E0501,E51,E,05,01,Block_2,2.555,0,55.492,6.006,6.044,5.756,0,0,0
E0502,E52,E,05,02,Block_2,1.06,0,54.386,6.35,6.742,5.312,0,0,0
E0601,E61,E,06,01,Block_2,0.953,0.7,54.782,6.232,6.232,6.138,10,0,0
E0602,E62,E,06,02,Block_2,0,,,,,,0,0,0
E0701,E71,E,07,01,Block_2,0,,,,,,0,0,0
E0702,E72,E,07,02,Block_2,0,,,,,,0,0,0
E0801,E81,E,08,01,Block_3,0,,,,,,0,0,0
E0802,E82,E,08,02,Block_3,0,,,,,,0,20,0
E0901,E91,E,09,01,Block_3,16.492,1.9,60.141,6.148,7.154,6.576,0,10,0
E0902,E92,E,09,02,Block_3,8.686,0.1,57.145,5.872,6.446,6.376,10,0,0
E1001,E101,E,10,01,Block_3,0.512,,,5.996,5.776,6.392,0,0,20
E1002,E102,E,10,02,Block_3,2.647,1.4,56.23,,5.82,6.168,0,0,0
E1101,E111,E,11,01,Block_3,0.316,,,5.958,5.558,,0,0,0
E1102,E112,E,11,02,Block_3,0,,,,,,0,0,0
